FlowID,bytes,pkts,beginTime,endTime,SYN,SYNACK,FIN,dur,rate,RTT
57.25.129.163-198.80.204.230-80-20834,13224471,9292,1403182805582047,1403182830107032,0,1,1,24.524985,4313795.42128,0.0
186.227.117.150-205.174.129.25-80-49196,11139491,7417,1403182816558986,1403182848768210,0,1,1,32.209224,2766782.83215,0.0
63.12.32.67-48.116.70.254-63940-80,10218117,6865,1403182845285881,1403182848257203,1,0,1,2.971322,27511301.7034,30.657
63.105.67.122-32.193.50.131-80-6624,9387205,6504,1403182835224333,1403182841712770,0,1,1,6.488437,11574072.4615,0.0
63.105.65.144-205.98.56.140-80-36254,9383083,6555,1403182817684609,1403182827670550,0,1,1,9.985941,7517034.59894,0.0
63.105.65.171-205.98.56.230-80-54447,9366299,6239,1403182811731135,1403182837953417,0,1,1,26.222282,2857508.435,0.0
63.105.65.193-32.193.67.147-80-61535,9338288,6470,1403182840511339,1403182852423732,0,1,1,11.912393,6271309.55132,0.0
63.105.67.56-32.193.81.41-80-16455,9310952,6451,1403182835052538,1403182842145255,0,1,1,7.092717,10501986.1923,0.0
63.105.67.35-205.98.61.184-80-50779,9202131,6122,1403182810789247,1403182828736828,0,1,1,17.947581,4101781.07011,0.0
63.105.67.87-205.98.58.54-80-54519,9144991,6085,1403182834592587,1403182842294495,0,1,1,7.701908,9498935.58843,0.0
63.105.67.84-205.98.56.244-80-53565,9102203,6055,1403182816031136,1403182838364198,0,1,1,22.333062,3260530.23987,0.0
63.105.67.63-156.166.87.133-80-56541,9046112,6018,1403182832356995,1403182859113794,0,1,1,26.756799,2704691.843,0.0
63.105.67.7-205.98.60.201-80-42838,9008416,5993,1403182806871673,1403182820110467,0,1,1,13.238794,5443647.51049,0.0
63.105.65.254-32.193.93.18-80-31726,8997976,6235,1403182824414913,1403182840344796,0,1,1,15.929883,4518790.7532,0.0
63.105.67.10-205.98.58.113-80-61423,8832384,6078,1403182805080424,1403182814980356,0,1,1,9.899932,7137329.02408,0.0
63.105.67.13-205.98.59.91-80-63371,8800160,6056,1403182811524820,1403182841683032,0,1,1,30.158212,2334398.339,0.0
68.142.134.142-90.21.226.66-45278-8462,8059587,5376,1403182802520046,1403182808025656,1,0,1,5.50561,11711090.3242,11.377
183.215.110.51-206.21.33.128-80-62031,7991954,5318,1403182808344826,1403182818042623,0,1,1,9.697797,6592799.58118,0.0
62.208.175.123-90.21.226.65-44768-8462,7860395,5244,1403182802794559,1403182808062652,1,0,1,5.268093,11936607.801,12.741
63.12.32.6-209.209.116.182-80-43136,7560848,5032,1403182837843347,1403182848457295,0,1,1,10.613948,5698801.61463,0.0
57.25.129.163-37.221.113.21-80-57745,6965300,4661,1403182825183565,1403182846602323,0,1,1,21.418758,2601570.0817,0.0
80.241.14.14-205.98.56.125-80-53944,6954565,4793,1403182825717062,1403182837801339,0,1,1,12.084277,4604042.09536,0.0
183.188.165.39-77.191.119.20-59353-80,6716417,4471,1403182804237502,1403182807797517,1,0,1,3.560015,15093008.316,55.261
133.255.217.84-127.8.114.152-80-47806,6678404,4468,1403182807285324,1403182842635739,0,1,1,35.350415,1511360.81429,0.0
141.194.47.186-201.96.35.149-1039-443,6675354,4458,1403182807473054,1403182817296109,1,0,1,9.823055,5436478.97726,46.122
135.158.240.220-201.127.189.88-40421-443,6662719,4463,1403182806593759,1403182834549317,1,0,1,27.955558,1906660.27843,65.755
141.236.133.210-201.127.187.214-61571-443,6586365,4825,1403182800802676,1403182813162741,1,0,1,12.360065,4262996.9988,45.517
63.105.67.26-205.98.61.203-80-50861,6501462,4330,1403182809129837,1403182835111132,0,1,1,25.981295,2001890.05205,0.0
47.138.100.239-150.188.213.16-80-38523,6116046,4073,1403182816849758,1403182826088064,0,1,1,9.238306,5296248.90104,0.0
141.242.144.176-201.96.35.85-54053-443,6058683,4187,1403182825481945,1403182830555389,1,0,1,5.073444,9553562.43215,40.764
62.208.175.233-77.160.47.252-80-50604,5902908,3991,1403182802293556,1403182818681225,0,1,1,16.387669,2881633.98956,0.0
183.215.110.51-55.162.98.184-80-64340,5668426,3783,1403182837084717,1403182857882574,0,1,1,20.797857,2180388.48906,0.0
62.208.175.106-90.21.226.104-57894-8462,5602979,3744,1403182802900854,1403182808153131,1,0,1,5.252277,8534171.36986,13.302
63.105.67.122-32.193.76.147-80-40833,5516469,3824,1403182810930882,1403182816666416,0,1,1,5.735534,7694445.19028,0.0
186.227.113.134-90.21.226.67-46827-8462,5482795,3665,1403182802914652,1403182810164573,1,0,1,7.249921,6050046.6143,19.495
184.128.208.247-201.96.35.85-51425-443,5448356,3640,1403182832852141,1403182841408163,1,0,1,8.556022,5094288.91137,59.034
184.128.96.13-201.96.33.53-54974-443,5368607,3584,1403182806144247,1403182819437399,1,0,1,13.293152,3230900.84278,46.905
68.142.45.88-46.68.209.33-80-59736,5198705,3708,1403182833703673,1403182839643294,0,1,1,5.939621,7002069.66067,0.0
57.25.129.163-32.193.77.95-80-55482,5140676,3425,1403182827765126,1403182849181875,0,1,1,21.416749,1920245.13151,0.0
135.162.244.67-201.127.191.104-62783-443,5074119,3683,1403182801462527,1403182824832770,1,0,1,23.370243,1736950.36034,67.016
62.91.184.95-57.89.243.200-1935-33064,4986556,3791,1403182801868530,1403182834177318,0,1,1,32.308788,1234724.37282,0.0
63.105.65.161-205.98.63.191-80-57476,4912240,3269,1403182843691622,1403182856052251,0,1,1,12.360629,3179281.57216,0.0
88.21.218.96-201.96.35.250-56144-443,4846528,3282,1403182802977991,1403182850356580,1,0,1,47.378589,818349.064806,103.518
33.182.123.18-205.98.58.103-80-54319,4709973,3263,1403182800952544,1403182809912585,0,1,1,8.960041,4205313.79265,0.0
57.25.129.163-44.21.182.88-80-61301,4662441,3290,1403182812065172,1403182842956590,0,1,1,30.891418,1207439.81387,0.0
68.142.86.169-90.21.18.161-80-46696,4613774,3095,1403182813166299,1403182844134744,0,1,1,30.968445,1191864.55762,0.0
186.233.170.245-153.26.55.154-80-17667,4596747,3070,1403182821159183,1403182851483737,0,1,1,30.324554,1212679.86332,0.0
63.105.67.63-205.98.60.109-80-39183,4575712,3046,1403182810479566,1403182826059174,0,1,1,15.579608,2349590.31062,0.0
68.142.45.23-157.253.148.252-80-56548,4553817,3249,1403182806703388,1403182835281014,0,1,1,28.577626,1274792.24481,0.0
224.205.68.184-153.26.55.83-443-55534,4550985,3182,1403182818189106,1403182854509314,0,1,1,36.320208,1002413.86283,0.0
133.239.237.52-232.228.75.159-80-46461,4500177,3035,1403182843096635,1403182846696064,0,1,1,3.599429,10001979.7585,0.0
148.224.243.96-127.5.82.93-80-50512,4490441,2989,1403182847172132,1403182857395022,0,1,1,10.22289,3514028.61617,0.0
133.239.237.107-232.228.75.158-80-49942,4440682,2999,1403182847979517,1403182856074409,0,1,1,8.094892,4388626.30904,0.0
187.119.42.166-32.193.86.133-443-55573,4396074,3302,1403182825114056,1403182836792898,0,1,1,11.678842,3011308.14168,0.0
33.182.123.18-205.98.56.74-80-52360,4324899,2984,1403182839504772,1403182850349315,0,1,1,10.844543,3190470.26694,0.0
175.150.233.20-52.93.71.182-80-4036,4302320,3018,1403182801439352,1403182828557682,0,1,1,27.11833,1269199.09891,0.0
141.236.133.210-201.127.187.214-61574-443,4296441,3122,1403182827385453,1403182840044142,1,0,1,12.658689,2715251.79266,41.305
63.105.67.45-205.98.59.245-80-51231,4220400,2809,1403182812010234,1403182824550013,0,1,1,12.539779,2692487.64272,0.0
183.215.110.123-229.35.2.107-80-41632,4216826,2808,1403182817783529,1403182850034502,0,1,1,32.250973,1046002.79812,0.0
51.194.37.118-232.228.75.158-80-53147,4194477,2828,1403182828872816,1403182834877295,0,1,1,6.004479,5588464.21147,0.0
57.232.17.232-62.59.20.178-3128-43903,4103529,2733,1403182839296213,1403182855932240,0,1,1,16.636027,1973321.63503,0.0
68.142.86.62-90.21.226.159-55359-8462,3999451,2677,1403182802743294,1403182806170252,1,0,1,3.426958,9336445.90917,10.329
141.78.120.45-201.127.189.88-59087-443,3996941,3043,1403182826088223,1403182846267911,1,0,1,20.179688,1584540.25652,65.732
183.101.252.83-127.8.114.13-65511-25,3964145,2645,1403182853271692,1403182853727673,1,0,1,0.455981,69549301.3963,9.779
62.91.176.220-127.8.118.143-80-47203,3961544,2676,1403182817792252,1403182818196270,0,1,1,0.404018,78442920.86,0.0
57.25.129.163-32.193.67.176-80-38709,3804945,2641,1403182829665072,1403182835052295,0,1,1,5.387223,5650324.85197,0.0
139.76.22.148-201.127.187.161-61621-443,3771274,2930,1403182822081670,1403182839591166,1,0,1,17.509496,1723075.98117,66.775
187.119.42.166-52.133.32.151-443-54559,3698474,2777,1403182838295968,1403182843403818,0,1,1,5.10785,5792611.76425,0.0
141.127.112.163-201.127.191.55-57220-443,3696114,2478,1403182822491289,1403182838983128,1,0,1,16.491839,1792942.07274,61.753
62.239.96.212-205.174.130.44-80-54603,3656277,2443,1403182801241035,1403182842533031,0,1,1,41.291996,708374.959641,0.0
141.249.73.248-201.96.33.53-57399-443,3640274,2532,1403182838140146,1403182841466968,1,0,1,3.326822,8753757.18929,39.154
57.25.129.163-32.193.67.153-80-57777,3632231,2540,1403182837810539,1403182849520374,0,1,1,11.709835,2481490.8152,0.0
33.182.123.18-205.98.60.118-80-65097,3612275,2509,1403182811780489,1403182820401464,0,1,1,8.620975,3352080.24614,0.0
187.119.42.166-32.193.92.163-443-61316,3590441,2670,1403182823411051,1403182831097734,0,1,1,7.686683,3736791.01896,0.0
62.208.175.94-90.21.224.248-61887-8465,3584403,3176,1403182827898473,1403182830044729,1,0,1,2.146256,13360579.5394,11.264
184.147.84.124-201.96.35.149-58701-443,3576264,2394,1403182804580644,1403182842617075,1,0,1,38.036431,752176.56462,156.928
63.30.105.227-190.100.118.246-80-54376,3455313,2301,1403182809731798,1403182811263026,0,1,1,1.531228,18052506.8768,0.0
184.16.97.193-201.96.35.149-55376-443,3349788,2241,1403182805053161,1403182811325058,1,0,1,6.271897,4272758.94359,49.367
184.109.59.184-201.127.189.9-56030-443,3306782,2214,1403182821133776,1403182834027819,1,0,1,12.894043,2051664.94326,49.796
252.20.237.142-32.193.76.197-80-60759,3305092,2311,1403182831268872,1403182845041213,0,1,1,13.772341,1919843.25686,0.0
133.239.237.118-232.228.75.144-80-62409,3294326,2218,1403182843581554,1403182845947127,0,1,1,2.365573,11140898.2094,0.0
47.138.100.254-150.188.248.253-80-34846,3290296,2192,1403182841147797,1403182852494577,0,1,1,11.34678,2319809.49661,0.0
77.32.255.238-201.96.35.85-50278-443,3285434,2280,1403182832951551,1403182847031045,1,0,1,14.079494,1866790.95144,83.287
57.25.129.163-62.166.175.179-80-63554,3247289,2166,1403182843682556,1403182852456416,0,1,1,8.77386,2960876.05683,0.0
57.25.129.163-205.241.254.43-80-53777,3236384,2157,1403182811499502,1403182821052446,0,1,1,9.552944,2710271.51421,0.0
63.105.67.35-249.111.207.155-80-40558,3210392,2175,1403182835393835,1403182845299714,0,1,1,9.905879,2592716.50704,0.0
179.85.48.185-201.127.191.88-53348-443,3152090,2132,1403182831444041,1403182844862696,1,0,1,13.418655,1879228.5814,63.783
133.239.237.122-232.228.75.146-80-46657,3123041,2109,1403182847705869,1403182850946298,0,1,1,3.240429,7710191.45922,0.0
183.215.107.177-186.61.39.224-31105-44024,3120347,2088,1403182804725855,1403182805146965,0,1,1,0.42111,59278516.3022,0.0
63.12.32.67-48.116.70.254-15829-80,3115310,2106,1403182806633973,1403182809311134,1,0,1,2.677161,9309294.43541,37.723
88.21.178.207-201.96.33.213-49255-443,3114726,2414,1403182826403584,1403182843378642,1,0,1,16.975058,1467907.09051,84.607
63.105.67.55-205.98.61.240-80-57128,3112544,2074,1403182838632384,1403182841698198,0,1,1,3.065814,8121938.25196,0.0
47.138.100.237-149.196.115.245-80-36882,3094552,2063,1403182803192368,1403182805558446,0,1,1,2.366078,10463059.9667,0.0
47.138.100.253-205.176.144.160-80-7482,3073427,2086,1403182836145078,1403182842487415,0,1,1,6.342337,3876712.32229,0.0
133.239.237.122-232.228.75.147-80-58308,3059484,2061,1403182821583753,1403182824656744,0,1,1,3.072991,7964836.86415,0.0
88.23.188.32-201.96.33.213-38399-443,3036920,2337,1403182837556113,1403182851520140,1,0,1,13.964027,1739853.41048,82.302
133.239.237.122-232.228.75.146-80-46585,3033247,2044,1403182843732349,1403182847771361,0,1,1,4.039012,6007898.96143,0.0
92.112.48.156-201.127.189.118-53223-443,3031238,2178,1403182824545954,1403182830005751,1,0,1,5.459797,4441539.49314,82.696
133.239.237.7-127.8.118.156-80-59508,3001089,2029,1403182829404207,1403182829647236,0,1,1,0.243029,98789494.2579,0.0
63.105.67.42-205.98.57.35-80-57963,3001116,1999,1403182803415255,1403182816493432,0,1,1,13.078177,1835800.81536,0.0
135.200.29.95-201.127.191.104-56248-443,2986647,2276,1403182844395802,1403182858729332,1,0,1,14.33353,1666942.89543,67.769
90.21.18.29-70.136.79.65-443-47360,2979840,2121,1403182823036449,1403182848272778,0,1,1,25.236329,944619.163905,0.0
57.25.129.163-44.15.212.242-80-7179,2977333,2046,1403182807736844,1403182831056016,0,1,1,23.319172,1021419.79998,0.0
57.25.129.163-151.174.78.42-80-9075,2970813,1981,1403182825568315,1403182845454301,0,1,1,19.885986,1195138.32505,0.0
57.25.129.163-44.21.182.67-80-61826,2912569,2060,1403182817870648,1403182842865205,0,1,1,24.994557,932225.044037,0.0
63.105.65.161-32.216.74.197-80-39964,2908583,2018,1403182817986993,1403182823171586,0,1,1,5.184593,4488040.62344,0.0
57.25.129.163-142.78.94.6-80-1330,2904899,1937,1403182817871864,1403182829667224,0,1,1,11.79536,1970197.77268,0.0
39.186.98.99-63.147.203.234-80-37283,2876425,3589,1403182810049796,1403182839479566,0,1,1,29.42977,781908.930991,0.0
185.192.54.131-153.26.55.155-80-33175,2834173,1889,1403182821376522,1403182832338257,0,1,1,10.961735,2068411.9804,0.0
57.25.129.163-62.166.175.179-80-51996,2832921,1890,1403182834852621,1403182843680872,0,1,1,8.828251,2567141.32845,0.0
141.249.21.191-201.96.35.85-52833-443,2831834,1899,1403182810326019,1403182818408648,1,0,1,8.082629,2802884.06161,51.119
63.105.67.33-52.133.54.177-80-59334,2815692,1953,1403182822687857,1403182827558177,0,1,1,4.87032,4625062.82955,0.0
57.25.129.163-32.193.81.109-80-11414,2815540,1957,1403182811551809,1403182825701333,0,1,1,14.149524,1591878.28509,0.0
184.1.226.124-201.96.33.53-57978-443,2810716,2024,1403182827340741,1403182834970446,1,0,1,7.629705,2947129.41064,43.507
133.239.237.121-127.8.118.142-80-45770,2786836,1882,1403182844790065,1403182846957309,0,1,1,2.167244,10287114.8795,0.0
133.239.237.90-232.228.75.147-80-33647,2747423,1853,1403182821792228,1403182825872310,0,1,1,4.080082,5386995.65352,0.0
90.21.18.176-70.136.77.7-443-62794,2738950,1958,1403182818955212,1403182828786943,0,1,1,9.831731,2228661.46358,0.0
63.105.67.51-141.54.97.104-80-57976,2726872,1818,1403182843765370,1403182859215358,0,1,1,15.449988,1411973.65331,0.0
39.88.206.196-189.115.186.107-4360-7706,2700189,2153,1403182802776390,1403182830688230,0,1,1,27.91184,773919.311661,0.0
184.109.59.184-201.96.33.53-56031-443,2675450,1794,1403182834382511,1403182844722348,1,0,1,10.339837,2070013.28938,44.213
57.25.129.163-44.15.212.242-80-7194,2637459,1812,1403182831055974,1403182859032898,0,1,1,27.976924,754181.26739,0.0
181.143.235.94-205.174.214.196-80-53773,2574737,1718,1403182827413554,1403182837531754,0,1,1,10.1182,2035727.30328,0.0
48.139.51.240-187.187.162.171-80-52393,2549974,1706,1403182837609610,1403182845987694,0,1,1,8.378084,2434899.43524,0.0
57.25.129.163-155.228.162.244-80-49853,2520932,1805,1403182813999431,1403182830324269,0,1,1,16.324838,1235384.75543,0.0
57.25.128.226-32.193.67.224-80-33837,2513551,1744,1403182846394548,1403182851414092,0,1,1,5.019544,4006022.85785,0.0
68.142.86.169-169.51.32.110-80-58121,2508996,2235,1403182829355794,1403182851271316,0,1,1,21.915522,915879.074201,0.0
184.98.253.193-201.127.191.118-50990-443,2468546,1657,1403182838134673,1403182843227891,1,0,1,5.093218,3877385.18163,40.654
57.25.129.163-199.38.98.72-80-1876,2428514,1621,1403182817265840,1403182835264806,0,1,1,17.998966,1079401.56118,0.0
139.39.102.99-213.89.94.206-80-56292,2413253,1621,1403182834508132,1403182840718663,0,1,1,6.210531,3108594.74013,0.0
62.91.176.200-156.106.80.205-80-50871,2384236,1599,1403182850922984,1403182853304634,0,1,1,2.38165,8008686.41488,0.0
63.105.65.214-35.188.158.155-80-7367,2378894,1587,1403182813522297,1403182836948863,0,1,1,23.426566,812374.805595,0.0
47.117.158.207-52.177.97.9-80-65482,2362175,1588,1403182839562761,1403182841269291,0,1,1,1.70653,11073582.0642,0.0
47.138.100.252-150.188.249.57-80-46195,2360606,1575,1403182833608108,1403182836535691,0,1,1,2.927583,6450661.85997,0.0
133.239.237.23-156.106.80.141-80-33830,2360119,1583,1403182815704101,1403182817822296,0,1,1,2.118195,8913698.69157,0.0
133.239.237.4-156.106.80.236-80-53556,2336110,1567,1403182819300618,1403182821607171,0,1,1,2.306553,8102514.87826,0.0
183.215.107.137-141.57.181.78-3128-42285,2331837,1572,1403182800164127,1403182814184978,0,1,1,14.020851,1330496.70095,0.0
195.46.255.211-105.186.170.162-80-45522,2313933,1544,1403182815016837,1403182829691008,0,1,1,14.674171,1261499.81488,0.0
57.25.129.163-80.171.175.27-80-61215,2307619,1539,1403182800595859,1403182829945992,0,1,1,29.350133,628990.403553,0.0
62.91.176.202-156.106.80.143-80-32800,2304929,1548,1403182811089312,1403182813246004,0,1,1,2.156692,8549868.03864,0.0
62.91.176.215-156.106.80.100-80-36847,2286607,1537,1403182818977491,1403182821095680,0,1,1,2.118189,8636082.99354,0.0
133.239.237.44-156.106.80.133-80-54638,2272900,1524,1403182804287473,1403182806405162,0,1,1,2.117689,8586341.05386,0.0
162.70.157.108-183.215.106.173-3128-39902,2269489,1513,1403182808913937,1403182824933261,0,1,1,16.019324,1133375.66554,0.0
62.91.176.202-156.106.80.143-80-33237,2262521,1521,1403182855870560,1403182858099607,0,1,1,2.229047,8120137.4399,0.0
57.25.129.163-52.133.58.60-80-51652,2250260,1588,1403182816846678,1403182835646242,0,1,1,18.799564,957579.654507,0.0
63.105.67.7-205.98.63.47-80-52301,2230551,1539,1403182829268116,1403182836911315,0,1,1,7.643199,2334677.9274,0.0
186.227.112.248-114.241.0.128-80-45499,2217141,1479,1403182828072603,1403182828419505,0,1,1,0.346902,51130082.8476,0.0
62.91.176.221-62.91.51.80-80-46265,2191986,1481,1403182851258033,1403182855511678,0,1,1,4.253645,4122555.59644,0.0
133.239.237.123-51.194.8.207-80-60573,2192038,1481,1403182825196043,1403182832797253,0,1,1,7.60121,2307041.11582,0.0
133.239.237.105-52.177.97.45-80-44661,2191900,1474,1403182825852903,1403182827308747,0,1,1,1.455844,12044697.0967,0.0
186.227.112.228-51.194.8.211-80-59052,2191423,1470,1403182813478373,1403182819889783,0,1,1,6.41141,2734403.82069,0.0
47.117.158.85-52.177.97.55-80-53168,2190746,1476,1403182850907492,1403182852476161,0,1,1,1.568669,11172508.6682,0.0
133.239.89.164-52.177.97.54-80-51493,2189394,1477,1403182841664939,1403182843412994,0,1,1,1.748055,10019794.5717,0.0
133.239.237.121-52.177.97.51-80-60857,2189178,1474,1403182827186636,1403182828690894,0,1,1,1.504258,11642566.6342,0.0
47.117.158.141-52.177.97.18-80-59322,2188944,1467,1403182821377061,1403182823095264,0,1,1,1.718203,10191782.9267,0.0
47.117.158.143-52.177.97.17-80-46124,2187444,1470,1403182836948464,1403182838494480,0,1,1,1.546016,11319127.357,0.0
186.227.112.248-114.241.0.128-80-45501,2187118,1460,1403182828072603,1403182828368370,0,1,1,0.295767,59157864.1295,0.0
57.25.129.163-151.236.150.220-80-58367,2186555,1480,1403182807251166,1403182826615669,0,1,1,19.364503,903325.016914,0.0
39.173.203.85-77.135.94.217-12046-56239,2185357,1665,1403182816956043,1403182857276991,0,1,1,40.320948,433592.384782,0.0
133.239.237.121-52.177.97.51-80-62657,2184722,1471,1403182850655278,1403182852360379,0,1,1,1.705101,10250287.8129,0.0
133.239.237.59-52.177.97.19-80-38967,2184707,1470,1403182806653328,1403182808375875,0,1,1,1.722547,10146402.9719,0.0
133.239.237.88-232.228.75.158-80-39903,2184444,1466,1403182857069364,1403182857599367,0,1,1,0.530003,32972552.9855,0.0
133.239.237.44-52.177.97.47-80-36676,2183549,1472,1403182834119405,1403182835724505,0,1,1,1.6051,10883055.2614,0.0
186.227.112.105-68.142.205.238-80-56189,2183608,1476,1403182808754854,1403182809022559,0,1,1,0.267705,65254156.6276,0.0
133.239.89.131-52.177.97.27-80-47937,2183543,1476,1403182831461072,1403182833002547,0,1,1,1.541475,11332226.6011,0.0
62.91.176.247-232.228.75.144-80-50916,2183553,1476,1403182849923507,1403182850685449,0,1,1,0.761942,22926185.9827,0.0
133.239.237.123-49.78.78.35-80-53631,2183488,1475,1403182811772680,1403182812004152,0,1,1,0.231472,75464436.3033,0.0
133.239.237.120-68.142.205.207-80-60819,2183515,1474,1403182852193887,1403182852399955,0,1,1,0.206068,84768717.1225,0.0
133.239.237.55-77.160.47.227-80-48461,2183501,1475,1403182847611741,1403182847963849,0,1,1,0.352108,49609801.5382,0.0
133.239.237.45-114.241.0.131-80-34294,2183499,1478,1403182812260679,1403182812764089,0,1,1,0.50341,34699334.5384,0.0
133.239.237.88-232.228.75.158-80-38408,2183499,1475,1403182811947535,1403182812477289,0,1,1,0.529754,32973780.2829,0.0
47.117.158.57-52.177.97.26-80-35594,2183431,1474,1403182837676969,1403182839199304,0,1,1,1.522335,11474115.7498,0.0
133.239.237.89-90.21.19.97-80-51897,2183492,1474,1403182844188321,1403182844342121,0,1,1,0.1538,113575656.697,0.0
133.239.237.10-232.228.75.159-80-42105,2183424,1474,1403182832818025,1403182833186962,0,1,1,0.368937,47345189.016,0.0
133.239.237.24-77.160.47.133-80-54099,2183487,1474,1403182815546675,1403182815735639,0,1,1,0.188964,92440337.8421,0.0
133.239.89.131-52.177.97.27-80-48039,2183486,1474,1403182834807012,1403182836597746,0,1,1,1.790734,9754596.71844,0.0
62.91.176.214-168.15.157.181-80-48335,2183484,1470,1403182836032082,1403182836247369,0,1,1,0.215287,81137607.0083,0.0
186.227.112.217-68.142.205.242-80-50877,2183419,1473,1403182852065895,1403182852203492,0,1,1,0.137597,126945732.828,0.0
186.227.112.217-68.142.205.242-80-50449,2183475,1473,1403182811399973,1403182811599601,0,1,1,0.199628,87501753.2611,0.0
133.239.237.88-232.228.75.158-80-39680,2183443,1474,1403182850428116,1403182850927441,0,1,1,0.499325,34982314.1241,0.0
133.239.237.123-49.78.78.35-80-54955,2183432,1473,1403182823076683,1403182823388083,0,1,1,0.3114,56093307.6429,0.0
133.239.237.52-114.241.0.156-80-58594,2183430,1473,1403182854219970,1403182854388448,0,1,1,0.168478,103677868.921,0.0
62.91.176.214-168.15.157.181-80-34707,2183428,1469,1403182815774533,1403182815978214,0,1,1,0.203681,85758730.564,0.0
47.117.158.171-52.177.97.26-80-58816,2183361,1472,1403182818309878,1403182819850799,0,1,1,1.540921,11335355.9332,0.0
186.227.112.217-68.142.205.242-80-50524,2183419,1472,1403182818495993,1403182818633126,0,1,1,0.137133,127375263.43,0.0
186.227.112.217-68.142.205.242-80-50750,2183419,1472,1403182839449957,1403182839608710,0,1,1,0.158753,110028484.501,0.0
62.91.176.232-77.160.47.238-80-55702,2183403,1473,1403182847454333,1403182847610792,0,1,1,0.156459,111640902.729,0.0
47.117.171.54-52.177.97.19-80-49301,2183324,1472,1403182853721650,1403182855227630,0,1,1,1.50598,11598156.682,0.0
133.239.89.131-52.177.97.27-80-47552,2183319,1472,1403182820180310,1403182821583149,0,1,1,1.402839,12450860.006,0.0
62.91.176.222-68.142.205.243-80-41002,2183376,1472,1403182856442846,1403182856588230,0,1,1,0.145384,120143949.816,0.0
186.227.112.217-68.142.205.242-80-50829,2183363,1471,1403182847565348,1403182847700514,0,1,1,0.135166,129225574.479,0.0
133.239.89.171-52.177.97.54-80-38866,2183261,1471,1403182808824285,1403182810586717,0,1,1,1.762432,9910219.51485,0.0
133.239.89.171-52.177.97.54-80-44958,2183260,1471,1403182852705543,1403182854254358,0,1,1,1.548815,11277060.2041,0.0
47.117.158.141-52.177.97.18-80-61056,2183319,1472,1403182853859963,1403182855650953,0,1,1,1.79099,9752456.46263,0.0
47.117.158.205-51.194.8.211-80-59098,2183318,1476,1403182810448634,1403182810620901,0,1,1,0.172267,101392280.588,0.0
133.239.89.171-52.177.97.54-80-42535,2183317,1471,1403182834880528,1403182836430008,0,1,1,1.54948,11272514.6501,0.0
133.239.237.10-232.228.75.159-80-41683,2183313,1471,1403182820371109,1403182820753212,0,1,1,0.382103,45711507.1067,0.0
186.227.112.249-68.142.95.86-80-56986,2183246,1470,1403182836466884,1403182836720207,0,1,1,0.253323,68947422.8554,0.0
133.239.237.87-52.177.97.9-80-59504,2183292,1470,1403182803915523,1403182805372028,0,1,1,1.456505,11991950.5941,0.0
62.91.176.200-47.122.24.15-80-61460,2183282,1469,1403182804800081,1403182805320027,0,1,1,0.519946,33592442.2921,0.0
47.117.158.148-52.177.97.47-80-57297,2183282,1471,1403182846539525,1403182848112004,0,1,1,1.572479,11107465.3461,0.0
133.239.237.37-114.241.0.156-80-45684,2183278,1471,1403182851529328,1403182851688481,0,1,1,0.159153,109744861.862,0.0
